company,job_title,country,city,district,job_type
GET Group- Egypt,Senior .NET Developer,Egypt,Cairo,,Full Time
Link Datacenter,Senior Full Stack Developer (.Net & Angular 14+),Egypt,Cairo,Maadi,Full Time
Al Ahly Momkn for e-payment,Presales Engineer,Egypt,Cairo,Maadi,Full Time
Charisma Design,Software Tester,Egypt,Cairo,Nasr City,Full Time
Premier Services and Recruitment,Senior Odoo Implementer,Egypt,Cairo,New Cairo,Full Time
Raytheon,Information Technology Analyst,Saudi Arabia,Riyadh,,Full Time
Raytheon,"Senior Analyst, Procurement",Saudi Arabia,Riyadh,,Full Time
AECOM,Engineer - Electrical (ELV),Saudi Arabia,Riyadh,,Full Time
Amazon Middle East and North Africa FZ-LLC - F52,"Security Compliance Specialist, CSS Compliance VAR",United Arab Emirates,Dubai,,Full Time
Four Seasons Hotels and Resorts,Server - Shai Salon,United Arab Emirates,Dubai,,Full Time
"Honeywell International, Inc.","Systems Engr II (ICT, Airport Systems)- KSA National only - Red Sea Project",Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,"ASSOCIATE CONSULTANT, INTERNAL MEDICINE",Saudi Arabia,Riyadh,,Full Time
"Honeywell International, Inc.",Systems Engr II (FAS/PAVA/BMS)- KSA National only - Red Sea Project,Saudi Arabia,Riyadh,,Full Time
LABS,SAP HCM Support Consultant,Egypt,Cairo,Nasr City,Full Time
LABS,SAP HCM Support Consultant,Egypt,Cairo,Nasr City,Work From Home
flydubai,Senior Officer Airport Services – DXB & DWC,United Arab Emirates,Dubai,,Full Time
Confidential,Salesforce Senior Developer,Egypt,Cairo,,Full Time
UrbaCon Contracting & Trading Company,Cost Control Engineer,Qatar,Doha,,Full Time
Giza Arabia Systems,Specialist BI Developer - Team Lead,Egypt,Cairo,,Full Time
John Wood Group PLC,Senior Pipeline Engineer,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Senior Instrument and Control Designer,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Senior Instrument and Control Engineer,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Senior Piping Engineer,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Senior Static Equipment Engineer,United Arab Emirates,Dubai,,Full Time
DXC.technology,Business Analyst,Egypt,Cairo,,Full Time
Wood,Lead Piping Engineer,United Arab Emirates,Dubai,,Full Time
Giza Arabia Systems,Senior Systems Engineer,Egypt,Cairo,,Full Time
Decorative Glass And Arab Union Glass Group,Group ICT Business Applications Section Head,Egypt,Cairo,Obour City,Full Time
IST Networks,Senior Solution Architect - Billing,Egypt,Cairo,Maadi,Full Time
IST Networks,E2E Solution Architect,Egypt,Cairo,Maadi,Full Time
IST Networks,Sr. Solution Architect - Business CRM,Egypt,Cairo,Maadi,Full Time
IST Networks,Solution Architect - AI,Egypt,Cairo,Maadi,Full Time
IST Networks,Senior Developer - Full Stack,Egypt,Cairo,Maadi,Full Time
Superior Business Solutions,Odoo Functional Consultant,Egypt,Cairo,Nasr City,Full Time
Horizon Agency,Software Tester,Egypt,Cairo,New Cairo,Full Time
As-Salam International Hospital,Senior Hardware support,Egypt,Cairo,New Cairo,Full Time
Confidential,Software Tester,Egypt,Cairo,New Cairo,Part Time
Confidential,Software Tester,Egypt,Cairo,New Cairo,Work From Home
IT Security C&T,SOC Analyst – Level 1- KSA,Saudi Arabia,Riyadh,,Full Time
IT Security C&T,SOC Analyst Level 2,Saudi Arabia,Riyadh,,Full Time
Dynamicslink,Senior Full Stack Developer (.Net Core - MVC),Egypt,Cairo,Nasr City,Full Time
Centione,Odoo Developer Team Leader,Egypt,Cairo,Nasr City,Full Time
Confidential,Back End Lead - .Net + Python OR Node,Egypt,Cairo,,Full Time
