company,job_title,country,city,district,job_category
CompactSoft International,Software Digital Marketing Manager,Egypt,Cairo,Nasr City,Project/Program Management
Health Insights Group,Junior Implementation Specialist,Egypt,Cairo,Nasr City,IT/Software Development
Health Insights Group,Junior Implementation Specialist,Egypt,Cairo,Nasr City,Medical/Healthcare
Health Insights Group,Junior Implementation Specialist,Egypt,Cairo,Nasr City,Engineering - Telecom/Technology
Advanced Solutions,Senior .NET Developer,Egypt,Cairo,Nasr City,IT/Software Development
New Plan,System Administrator,Egypt,Cairo,Heliopolis,Installation/Maintenance/Repair
New Plan,System Administrator,Egypt,Cairo,Heliopolis,IT/Software Development
ERP-Bank,Odoo ERP Sales Executive,Egypt,Alexandria,Sidi Gaber,IT/Software Development
Zewail City,Junior Backend Developer / Hybrid (Remote/In-Office),Egypt,Giza,6th of October,IT/Software Development
Premier Services and Recruitment,ERP Administrator,Egypt,Cairo,Maadi,IT/Software Development
Confidential,Technical Support Specialist,Egypt,Cairo,New Cairo,Customer Service/Support
Confidential,Technical Support Specialist,Egypt,Cairo,New Cairo,IT/Software Development
